  t  inputs    outputs
---  --------  ---------
  0            b1
  1            b2
  2            l2
  3            b2
  4            l2
  5            b2
  6            l2
  7            b2
  8            l2
  9            b2
 10            l2
 11            b2
 12            l2
 13            b2
 14            l2
 15            b2
 16            l2
 17            b2
 18            l2
 19            b2
 20            l2
 21            b2
 22            l2
 23            b2
 24            l2
 25            b2
 26            l2
 27            b2
 28            l2
 29            b2
 30            l2
 31            b2
 32            l2
 33            b2
 34            l2
 35            b2
 36            l2
 37            b2
 38            l2
 39            b2
 40            l2
 41            b2
 42            l2
 43            b2
 44            l2
 45            b2
 46            l2
 47            b2
 48            l2
 49            b2
