  t  inputs      s    s'  outputs
---  --------  ---  ----  ---------
  0              0     1  r1  pu
  1              1     1  r1  pu
  2              1     1  r1  pu
  3              1     1  r1  pu
  4              1     1  r1  pu
  5              1     1  r1  pu
  6              1     1  r1  pu
  7              1     1  r1  pu
  8              1     1  r1  pu
  9              1     1  r1  pu
 10              1     1  r1  pu
 11              1     1  r1  pu
 12              1     1  r1  pu
 13              1     1  r1  pu
 14              1     1  r1  pu
 15              1     1  r1  pu
 16              1     1  r1  pu
 17              1     1  r1  pu
 18              1     1  r1  pu
 19              1     1  r1  pu
 20              1     1  r1  pu
 21              1     1  r1  pu
 22              1     1  r1  pu
 23              1     1  r1  pu
 24              1     1  r1  pu
 25              1     1  r1  pu
 26              1     1  r1  pu
 27              1     1  r1  pu
 28              1     1  r1  pu
 29              1     1  r1  pu
 30              1     1  r1  pu
 31              1     1  r1  pu
 32              1     1  r1  pu
 33              1     1  r1  pu
 34              1     1  r1  pu
 35              1     1  r1  pu
 36              1     1  r1  pu
 37              1     1  r1  pu
 38              1     1  r1  pu
 39              1     1  r1  pu
 40              1     1  r1  pu
 41              1     1  r1  pu
 42              1     1  r1  pu
 43              1     1  r1  pu
 44              1     1  r1  pu
 45              1     1  r1  pu
 46              1     1  r1  pu
 47              1     1  r1  pu
 48              1     1  r1  pu
 49              1     1  r1  pu
